title,description,thumbnail,article_link
تكريم حفظة القرآن والمجيدين في المركز الصيفي بعبري,كرم فريق عبري الخيري صباح اليوم الطلبة حفظة القرآن الكريم والمجيدين في ختام المركز الصيفي لتحفيظ وتعلم القرآن الكريم بالولاية الذي أشرفت عليه إدارة الأوقاف والشؤون الدينية بمحافظة ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731890.jpg,https://www.omandaily.om/عمان-اليوم/na/تكريم-حفظة-القرآن-والمجيدين-في-المركز-الصيفي-بعبري
اعتماد ماجستير نظم المعلومات بجامعة السلطان قابوس,حصل برنامج ماجستير نظم المعلومات بكلية الاقتصاد والعلوم السياسية بجامعة السلطان قابوس على الاعتماد الأكاديمي من قبل الهيئة العمانية للاعتماد الأكاديمي وضمان جودة التعليم بعد استيفا ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731892.jpg,https://www.omandaily.om/عمان-اليوم/na/اعتماد-ماجستير-نظم-المعلومات-بجامعة-السلطان-قابوس
معرض توعوي للسلامة المرورية في صلالة,افتتحت شرطة عمان السلطانية ممثلة بالإدارة العامة للمرور وقيادة شرطة محافظة ظفار فعاليات المعرض المروري المصاحب لفعاليات موسم خريف ظفار بالجاردنز مول ويستمر حتى 4 أغسطس المقبل رعى ا ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731884.jpg,https://www.omandaily.om/عمان-اليوم/na/معرض-توعوي-للسلامة-المرورية-في-صلالة
محافظ شمال الباطنة: تسارع وتيرة العمل بمشروعات الخدمات الصحية,أكد سعادة محمد بن سليمان الكندي محافظ شمال الباطنة في تصريح خاص لـ quot عمان quot أن نسبة الإنجاز في الأعمال الإنشائية بمشروع مستشفى ولاية السويق وصلت إلى 60 وبتكلفة إجمالية بلغ ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731828.jpg,https://www.omandaily.om/عمان-اليوم/na/محافظ-شمال-الباطنة-تسارع-وتيرة-العمل-بمشروعات-الخدمات-الصحية
بريطانيا تحتفظ بذهبية التتابع أربع مرات 200 م حرة,احتفظت بريطانيا بذهبية التتابع أربع مرات 200 م حر ة للرجال في أولمبياد باريس وسج ل الفريق البريطاني 6 59 43 دقائق متقد ما على الولايات المتحدة 7 00 78 د وأستراليا 7 01 98 د ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731813.JPG,https://www.omandaily.om/الرياضية/na/بريطانيا-تحتفظ-بذهبية-التتابع-أربع-مرات-200-م-حرة
الفرنسية كاساندر بوغران تحرز ذهبية الترياثلون,أحرزت الفرنسية كاساندر بوغران ذهبية مسابقة الترياثلون للسيدات في أولمبياد باريس 2024 والتي بدأت سباحة في نهر السين بعدما كان الممر المائي محط شكوك بسبب نسبة التلوث وتوجت الفرنسية ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731815.JPG,https://www.omandaily.om/الرياضية/na/الفرنسية-كاساندر-بوغران-تحرز-ذهبية-الترياثلون
ويفن أوّل سباح إيرلندي يحرز ميدالية ذهبية بالأولمبياد,أصبح دانيال ويفن أول سباح إيرلندي يحرز ذهبية أولمبية بتتويجه في سباق 800 م حر ة في قاعة لا ديفانس أرينا في أولمبياد باريس وسج ل ويفن 23 عاما رقما أولمبيا بلغ 7 38 19 دقائق في ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731809.JPG,https://www.omandaily.om/الرياضية/na/ويفن-أول-سباح-إيرلندي-يحرز-ميدالية-ذهبية-بالأولمبياد
روسيا تعالج نسبة أكبر بواقع 4% من النفط الخام مقارنة بالعام الماضي,ذكرت وكالة quot تاس quot الروسية للأنباء نقلا عن النائب الأول لوزير الطاقة بافيل سوروكين أن روسيا تعالج الآن نسبة أكبر 4 من النفط الخام مقارنة بالعام الماضي ونقلت وكالة quot ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731767.jpeg,https://www.omandaily.om/الاقتصادية/na/روسيا-تعالج-نسبة-أكبر-بواقع-4-من-النفط-الخام-مقارنة-بالعام-الماضي
ساوثمبتون يضم المهاجم التشيلي بريرتون دياس,أعلن ساوثمبتون العائد الى مصاف الدوري الإنكليزي لكرة القدم تعاقده مع المهاجم التشيلي بن بريريتون دياس من فياريال الإسباني بعقد مدته أربع سنوات وانتقل اللاعب البالغ من العمر 25 عام ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731756.jpg,https://www.omandaily.om/الرياضية/na/ساوثمبتون-يضم-المهاجم-التشيلي-بريرتون-دياس
فليك يفتتح حقبته مع برشلونة بفوزٍ على مانشستر سيتي,حق ق الألماني هانزي فليك مدرب برشلونة الإسباني الجديد بداية جي دة لحقبته بتغل ب العملاق الإسباني على مانشستر سيتي الإنكليزي بركلات الترجيح بعد انتهاء المباراة الودية التي جمعتهما ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731758.JPG,https://www.omandaily.om/الرياضية/na/فليك-يفتتح-حقبته-مع-برشلونة-بفوز-على-مانشستر-سيتي
موناكو مستعدّ للتخلي عن فوفانا مجاناً,أوضح المدير العام لنادي موناكو تياغو سكورو أن ناديه مستعد أن quot يترك يوسف فوفانا يرحل مجانا في نهاية الموسم صيف 2025 quot في حين قد م ميلان الإيطالي الراغب بالتعاقد مع ال ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731747.jpg,https://www.omandaily.om/الرياضية/na/موناكو-مستعد-للتخلي-عن-فوفانا-مجانا
مزون العلوية تدخل التحدي الأولمبي الثالث في سباق 100 متر.. الجمعة,تتطلع العداءة مزون العلوية في حضورها الأولمبي الثالث إلى تحقيق نتيجة مشر فة لسلطنة عمان في هذه المشاركة الأولمبية المهمة وذلك عندما تخوض منافسات التصفيات التمهيدية لمسابقة 100 متر ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731753.JPG,https://www.omandaily.om/الرياضية/na/مزون-العلوية-تدخل-التحدي-الأولمبي-الثالث-في-سباق-100-متر-الجمعة
النهضة يختبر قدراته ودّيا أمام نادي عُمان استعدادا للموسم الجديد,يخوض الفريق الكروي الأول بنادي النهضة في تمام الساعة السادسة مساء الغد ثاني تجاربه الودية التحضيرية أمام نادي ع مان تمهيدا لخوض معترك منافسات الموسم الكروي الجديد من مسابقة دوري عم ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731723.jpeg,https://www.omandaily.om/الرياضية/na/النهضة-يختبر-قدراته-وديا-أمام-نادي-عمان-استعدادا-للموسم-الجديد
حركة تجارية وسياحية نشطة بمحافظة الظاهرة بالتزامن مع موسم خريف ظفار,تشهد ولاية عبري بمحافظة الظاهرة مع بدء موسم خريف ظفار 2024 حراك ا سياحي ا وتجاري ا نشط ا من خلال الزوار القادمين من دول مجلس التعاون الخليجي لاسيما أن ولاية عبري تطل على منفذ ال ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731714.jpg,https://www.omandaily.om/الاقتصادية/na/حركة-تجارية-وسياحية-نشطة-بمحافظة-الظاهرة-بالتزامن-مع-موسم-خريف-ظفار
استطلاع للرأي العام حول «توجهات العُمانيين نحو الادخار والاستثمار»,يواصل المركز الوطني للإحصاء والمعلومات خلال الفترة من 22 يوليو الفائت إلى 8 أغسطس الحالي تنفيذ استطلاع للرأي العام حول quot توجهات الع مانيين نحو الادخار والاستثمار quot وذلك به ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731708.jpg,https://www.omandaily.om/الاقتصادية/na/استطلاع-للرأي-العام-حول-توجهات-العمانيين-نحو-الادخار-والاستثمار
مشروعات زراعية وحيوانية وسمكية لتغطية الطلب المتنامي على المنتجات الغذائية بمحافظة ظفار,تشهد محافظة ظفار اهتماما جيدا من قبل المستثمرين في القطاعات الزراعية والسمكية والحيوانية مدعومة بعدد من التسهيلات الحكومية مع توفر الإمكانيات اللازمة لنجاح الاستثمار ويعد موسم الخ ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731704.jpg,https://www.omandaily.om/الاقتصادية/na/مشروعات-زراعية-وحيوانية-وسمكية-لتغطية-الطلب-المتنامي-على-المنتجات-الغذائية-بمحافظة-ظفار
تركيا حريصة على استكمال محادثات التجارة الحرة مع مجلس التعاون الخليجي بنهاية 2024,قالت وزارة التجارة التركية اليوم إن تركيا تعتزم استكمال المحادثات بشأن اتفاقية التجارة الحرة مع دول مجلس التعاون الخليجي بحلول نهاية العام الجاري وذلك بعد أن استضافت أنقرة الجولة ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731664.jpg,https://www.omandaily.om/الاقتصادية/na/تركيا-حريصة-على-استكمال-محادثات-التجارة-الحرة-مع-مجلس-التعاون-الخليجي-بنهاية-2024
النفط يرتفع ويعوض بعض خسائره,بلغ سعر نفط ع مان الرسمي اليوم تسليم شهر سبتمبر القادم 79 دولار ا أمريكي ا و 89 سنتا وشهد سعر نفط ع مان اليوم ارتفاعا بلغ 33 سنت ا مقارنة بسعر يوم الثلاثاء البالغ 79 دولار ا أمري ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731658.jpg,https://www.omandaily.om/الاقتصادية/na/النفط-يرتفع-ويعوض-بعض-خسائره
كيف استقبل العالم خبر اغتيال إسماعيل هنية؟,أعلنت حركة المقاومة الإسلامية الفلسطينية حماس الأربعاء مقتل رئيس مكتبها السياسي إسماعيل هنية مع أحد حراسه الشخصيين في غارة إسرائيلية في طهران وقالت حماس في بيان إنها quot تنعى ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731654.jpg,https://www.omandaily.om/العرب-والعالم/na/كيف-استقبل-العالم-خبر-اغتيال-إسماعيل-هنية
أول برنامج تأهيلي يجهز 24 فتاة في تدريب السباحة القصيرة,اختتم الاتحاد العماني للرياضات المائية ممثلا بلجنة النشاط النسوي الدورة التأهيلية الأولى لمدربات السباحة القصيرة في سلطنة عمان بمشاركة 24 متدربة عمانية ومقيمة والتي أقيمت بأكاديمية ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731632.jpg,https://www.omandaily.om/الرياضية/na/أول-برنامج-تأهيلي-يجهز-24-فتاة-في-تدريب-السباحة-القصيرة
فريق النجوم يتوج بلقب دوري الهواة بمحافظة ظفار,توج فريق النجوم ممثل نادي صلالة بلقب المرحلة الثانية من دوري الهواة على مستوى محافظة ظفار وذلك في ختام الدوري الذي اختتم على ملعب استاد مجمع السعادة الرياضي برعاية موسى بن عبدالله ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731626.jpg,https://www.omandaily.om/الرياضية/na/فريق-النجوم-يتوج-بلقب-دوري-الهواة-بمحافظة-ظفار
إسماعيل هنية.. مواقف صارمة ودبلوماسية معتدلة,كان إسماعيل هنية رئيس المكتب السياسي لحركة حماس الذي استشهد في إيران الوجه الصارم على صعيد الدبلوماسية الدولية للحركة الفلسطينية مع احتدام الحرب في غزة حيث قتل ثلاثة من أبنائه ف ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731610.png,https://www.omandaily.om/العرب-والعالم/na/إسماعيل-هنية-مواقف-صارمة-ودبلوماسية-معتدلة
التعادل السلبي يحكم أولى مباريات صحار الودية,خاض الفريق الكروي الأول بنادي صحار أولى مبارياته الودية أمام وحدة مهام صحم التابعة لشرطة عمان السلطانية على ملعب النادي بمويلح وانتهى اللقاء بالتعادل السلبي بين الفريقين وشهدت الم ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731598.jpg,https://www.omandaily.om/الرياضية/na/التعادل-السلبي-يحكم-أولى-مباريات-صحار-الودية
إقبال كبير على برنامج صيف الرياضة بالبريمي,شهدت محافظة البريمي زخما كبيرا وإقبالا واسعا من قبل المشاركين في الأنشطة الرياضية المتنوعة ببرنامج صيف الرياضة وذلك في إطار جهود إدارة الثقافة والرياضة والشباب بمحافظة البريمي لتعز ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731596.jpg,https://www.omandaily.om/الرياضية/na/إقبال-كبير-على-برنامج-صيف-الرياضة-بالبريمي
نادي العامرات يدشن مشواره بلقاء بوكا جونيورز..  غدا,كتب عمر الشيبانييستهل فريق كرة القدم الشاطئية بنادي العامرات مساء غدا الخميس مشواره في بطولة كأس موسكو الدولية لكرة القدم الشاطئية بلقاء بوكا جونيورز الأرجنتيني عند الساعة 8 40 م ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731537.JPG,https://www.omandaily.om/الرياضية/na/نادي-العامرات-يدشن-مشواره-بلقاء-بوكا-جونيورز-غدا
ختام دورة الإسعافات الأولية والإنعاش القلبي الرئوي,أنهى 63 مشاركا يمثلون الهيئات الرياضية المختلفة مشاركتهم في الورشة التدريبية لتأهيل الكوادر الفنية بالهيئات الرياضية والتي تنظمها وزارة الثقافة والرياضة والشباب ممثلة في دائرة الطب ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731519.jpg,https://www.omandaily.om/الرياضية/na/ختام-دورة-الإسعافات-الأولية-والإنعاش-القلبي-الرئوي
إطلاق خط بحري جديد يربط ميناء شناص بميناء بندر عباس الإيراني,الع مانية أعلنت وزارة النقل والاتصالات وتقنية المعلومات إطلاق خط بحري جديد يربط ميناء شناص بميناء بندر عباس الإيراني وذلك ضمن جهود الوزارة وشركائها مشغلي الموانئ الع مانية لتفعيل ,https://www.omandaily.om/omandaily/uploads/images/2024/07/31/2731517.jpg,https://www.omandaily.om/عمان-اليوم/na/إطلاق-خط-بحري-جديد-يربط-ميناء-شناص-بميناء-بندر-عباس-الإيراني
عُمان مشروع حضاري: الوطن ليس أولئك,من المسلم به أن المشروع الحضاري العماني هو مشروع ضارب في أعماق التاريخ فالعمانيون شكلوا مع منعطفات التاريخ رمزا ثابتا في التأثير والإثراء والتفاعل في الحضارة الإنسانية كانت ع م ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/عمان-مشروع-حضاري-الوطن-ليس-أولئك
في الاقتصاد والسياسة الخارجية.. بايدن حقَّق مكاسب مهمة,ترجمة قاسم مكي من المبكر جدا الكتابة عن ت ر ك ة إنجازات الرئيس بايدن فلديه 6 أشهر إضافية في سد ة الرئاسة وفي هذه الأوقات المتقل بة يمكن أن يحدث الكثير لكن يبدو من المفيد أ ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/في-الاقتصاد-والسياسة-الخارجية-بايدن-حقق-مكاسب-مهمة
مكافحة الاتجار بالبشر.. نداء من أجل الإنسانية والعدالة,احتفل العالم بمناسبة مهمة جدا وإنسانية وهي اليوم العالمي لمكافحة الاتجار بالبشر وجاء الاحتفاء في وقت يواجه فيه البشر الكثير من التحديات تتجاوز الفهم التقليدي لموضوع الاتجار بالب ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731497.jpg,https://www.omandaily.om/رأي-عمان/na/مكافحة-الاتجار-بالبشر-نداء-من-أجل-الإنسانية-والعدالة
أولوية الوعي الديني, لا يمكن تصور إمكانية قيام أية حضارة من دون تحقق للوعي البشري فمن دون هذا الوعي يصبح الوجود الإنساني أشبه بالوجود الحيواني أو أقرب إليه أعني يصبح وجود ا يحيا على مستوى قضاء الح ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/أولوية-الوعي-الديني
النموذجان الآسيوي والعربي ما الذي صنع الفارق؟,خلال العقود الأربعة الماضية بدأت ظاهرة النمور الاقتصادية لدول جنوب شرق آسيا في الظهور على الساحة الاقتصادية الإقليمية والدولية هذا الجزء الآسيوي من العالم تعرض لأقسى الحروب في الت ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/النموذجان-الآسيوي-والعربي-ما-الذي-صنع-الفارق
وزير الاقتصاد يشارك بمراسم أداء اليمين للرئيس الايراني,طهران ـ الع مانية شارك معالي الدكتور سعيد بن محمد الصقري وزير الاقتصاد في مراسم أداء اليمين الدستورية لفخامة الرئيس الدكتور مسعود بزشكيان رئيس الجمهورية الإسلامية الإيرانية التي أ ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731496.jpg,https://www.omandaily.om/عمان-اليوم/na/وزير-الاقتصاد-يشارك-بمراسم-أداء-اليمين-للرئيس-الايراني
انتشال عشرات الجثث بعد انسحاب قوات الاحتلال من شرق خان يونس,عواصم رويترز عاد آلاف الفلسطينيين إلى منازلهم وسط أنقاض مدينة خان يونس بجنوب قطاع غزة اليوم بعدما أنهت قوات إسرائيلية توغلا استمر أسبوعا وقام عمال إنقاذ ومدنيون بجمع الجثث من ال ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731494.JPG,https://www.omandaily.om/العرب-والعالم/na/انتشال-عشرات-الجثث-بعد-انسحاب-قوات-الاحتلال-من-شرق-خان-يونس
مسعود بزشكيان يؤدي اليمين الدستورية رئيسا لإيران,طهران أ ف ب أدى الرئيس الإيراني الإصلاحي مسعود بزشكيان اليمين الدستورية أمام مجلس الشورى بصفته الرئيس التاسع للجمهورية الإسلامية خلال حفل بثه التلفزيون الرسمي مباشرة وحضرته شخص ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731492.JPG,https://www.omandaily.om/العرب-والعالم/na/مسعود-بزشكيان-يؤدي-اليمين-الدستورية-رئيسا-لإيران
ميقاتي: التهويل الإسرائيلي بحرب شاملة لن يثني اللبنانيين عن التمسك بأرضهم والدفاع عنها,بيروت د ب أ رويترز أكد رئيس الحكومة اللبنانية نجيب ميقاتي اليوم أن التهديدات الإسرائيلية المستجدة ضد لبنان والتهويل بحرب شاملة لن يثني اللبنانيين عن التمسك بحقهم في أرضهم وال ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731490.JPG,https://www.omandaily.om/العرب-والعالم/na/ميقاتي-التهويل-الإسرائيلي-بحرب-شاملة-لن-يثني-اللبنانيين-عن-التمسك-بأرضهم-والدفاع-عنها
«قصـص تُوجـع القلـب»..  النساء الفلسطينيات والأطفال في غزة يتجرعون مرارة الحرب,بصعوبة بالغة وصلت مستشفى ناصر بخان يونس الأمر استغرق وقت ا طويل ا في ظل صعوبة المواصلات وانعدامها في كثير من الأحيان بعد عناء كبير يمكنك الحصول على سيارة نقل أو عربة يجرها حيوان ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731487.JPG,https://www.omandaily.om/العرب-والعالم/na/قصص-توجع-القلب-النساء-الفلسطينيات-والأطفال-في-غزة-يتجرعون-مرارة-الحرب
ميلوني: الصين «لاعب رئيسي» في عملية السلام.. وأوكرانيا تقصف منشآت طاقة روسية,عواصم وكالات أكدت رئيسة الوزراء الإيطالية جورجا ميلوني إمكانية قيام الصين بالمساعدة في إنهاء الحرب الدائرة ما بين روسيا وأوكرانيا في الوقت الذي أقامت فيه علاقات أوثق مع ثاني أك ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731484.jpeg,https://www.omandaily.om/العرب-والعالم/na/ميلوني-الصين-لاعب-رئيسي-في-عملية-السلام-وأوكرانيا-تقصف-منشآت-طاقة-روسية
مهرجانات المسرح بين الواقع والطموح,الناظر إلى خارطة المواسم الثقافية في عالمنا العربي بوجه عام يجد توجه ق طاع مؤسساتها العامة أو الخاصة يسير إلى تفعيل الثقافة الفنية والتجارية والاستهلاكية بجميع أشكالها يتصاعد بكثرة ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أعمدة/na/مهرجانات-المسرح-بين-الواقع-والطموح
العودة للجذور,عندما يأتي الحديث عن الابتكار والإبداع فإن الأنظار تتوجه تلقائي ا نحو الممارسات الرائدة عالمي ا وهذا أمر بديهي فهناك الكثير من الدروس المفيدة في تعلم واستنساخ هذه التجارب ومع ذ ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/العودة-للجذور
هول جديد في حرب غزة ينذر بعصر بلا أخلاق,ترجمة أحمد شافعي في يوم الأربعاء الماضي تلقى بنيامين نتنياهو تصفيقا من أعضاء الكونجرس الأمريكي وهم وقوف بدا أن تلك اللحظة تنذر بطور جديد من حرب غزة لا يتم التسامح فيه مع هذه ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/هول-جديد-في-حرب-غزة-ينذر-بعصر-بلا-أخلاق
محور «الإرهاب» الصهيو-أمريكي!,ماذا نحن فاعلون إذا نفذت الدولة الصهيونية تهديداتها وهاجمت لبنان ودكت مدنه بالصواريخ والقنابل الأمريكية والغربية ثم اجتاحت أراضيه مثلما فعلت مع غزة هل سنبقي أنفسنا خارج الصراع ونك ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/محور-الإرهاب-الصهيو-أمريكي
أسطوريات لبنانية,لو عدنا إلى تاريخ الأدب في العالم لوجدنا أن الكثير من الأمكنة غير الموجودة في الواقع قد تحولت إلى أمكنة أسطورية وأقصد إلى جغرافيا متخيلة لم تكن حاضرة إلا في خيالات مبدعيها هكذ ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أفكار-وآراء/na/أسطوريات-لبنانية
العشاء الأخير ونهاية الغرب,حرارة القيظ وح م ى كون سائر إلى فساد وقيم إنساني ة تتهاوى وتتساقط وعالم يخطو إلى الفساد والانحلال وأخلاق قالت فيها الأديان وب ن ت صروح ها الفلسفات وتسم ت وات فق على حد ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أعمدة/na/العشاء-الأخير-ونهاية-الغرب
سردية الصمود الفلسطيني,يسأل المذيع ضيفه الطبيب العائد من غزة هل هنالك أشياء تتذكرها من هناك يقول نعم أفعل الرائحة الزكية التي تشبه المسك من الشهداء يبتسم المذيع لكي لا أقول أنه يضحك ويقول تتذكرها ,https://www.omandaily.om/theme_omandaily/images/no-image.jpg,https://www.omandaily.om/أعمدة/na/سردية-الصمود-الفلسطيني
مناقشة المبادرات والبرامج التنفيذية لتطوير الرعاية الصحية,العمانية ناقشت اللجنة التوجيهية لمتابعة تطوير نموذج الرعاية الصحية اليوم في اجتماعها الأول برئاسة سعادة الدكتور أحمد بن سالم المنظري وكيل وزارة الصحة للتخطيط والتنظيم الصـحي اختص ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731107.jpeg,https://www.omandaily.om/عمان-اليوم/na/مناقشة-المبادرات-والبرامج-التنفيذية-لتطوير-الرعاية-الصحية
منخفض بحر العرب يبدأ تأثيراته على معظم المحافظات,بدأت اليوم تأثيرات امتداد منخفض جوي من بحر العرب على أجواء سلطنة عمان حيث شهدت أجزاء من محافظتي جنوب الشرقية ومسقط هطول أمطار بين الخفيفة والمتوسطة وتدفقا للسحب واعتدالا في درجا ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731103.jpeg,https://www.omandaily.om/عمان-اليوم/na/منخفض-بحر-العرب-يبدأ-تأثيراته-على-معظم-المحافظات
خريجو دبلوم التعليم العام يحددون مسارتهم المستقبلية وفق ميولهم,يحدد الطلبة من خريجي دبلوم التعليم العام بعد انتهاء مرحلة التعليم المدرسي مساراتهم المستقبلية وفق ميولهم واختياراتهم في جوانب العلم والبناء مؤكدين العمل على الارتقاء بمهاراتهم في م ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731102.jpg,https://www.omandaily.om/عمان-اليوم/na/خريجو-دبلوم-التعليم-العام-يحددون-مسارتهم-المستقبلية-وفق-ميولهم
دراسة: انتشار الاكتئاب بين المصابين بأمراض الأمعاء الالتهابية, quot عمان quot توصلت دراسة أجراها باحثون بجامعة السلطان قابوس إلى أن أعراض الاكتئاب منتشرة بين المرضى العمانيين المصابين بأمراض الأمعاء الالتهابية وبينت أن بعض العوامل السريرية ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731101.jpeg,https://www.omandaily.om/عمان-اليوم/na/دراسة-انتشار-الاكتئاب-بين-المصابين-بأمراض-الأمعاء-الالتهابية
&quot;حقوق الإنسان&quot; توعي الطلبة في 13 مركزا صيفيا,شاركت اللجنة الع مانية لحقوق الإنسان في البرنامج الصيفي لطلبة المدارس 2024م صيفي همم وقيم الذي نظمته وزارة التربية والتعليم من خلال محاضرات وحلقات عمل توعوية حول اختصاصاتها وآلي ,https://www.omandaily.om/omandaily/uploads/images/2024/07/30/2731082.jpeg,https://www.omandaily.om/عمان-اليوم/na/حقوق-الإنسان-توعي-الطلبة-في-13-مركزا-صيفيا
